Authors,Title,Year,Source title,Cited by
"Cristescu R., Mogg R., Ayers M., Albright A., Murphy E., Yearley J., Sher X., Liu X.Q., Lu H., Nebozhyn M., Zhang C., Lunceford J.K., Joe A., Cheng J., Webber A.L., Ibrahim N., Plimack E.R., Ott P.A., Seiwert T.Y., Ribas A., McClanahan T.K., Tomassini J.E., Loboda A., Kaufman D.",Pan-tumor genomic biomarkers for PD-1 checkpoint blockade-based immunotherapy,2018,Science,66
"Hayes R.P., Xiao Y., Ding F., Van Erp P.B.G., Rajashankar K., Bailey S., Wiedenheft B., Ke A.",Structural basis for promiscuous PAM recognition in type I-E Cascade from E. coli,2016,Nature,66
"Shan J., Li M., Allard L.F., Lee S., Flytzani-Stephanopoulos M.",Mild oxidation of methane to methanol or acetic acid on supported isolated rhodium catalysts,2017,Nature,66
"Zehavi I., Dekel A.",Evidence for a positive cosmological constant from flows of galaxies and distant supernovae,1999,Nature,66
"Ghosh S., Parthasarathy R., Rosenbaum T.F., Aeppli G.",Coherent spin oscillations in a disordered magnet,2002,Science,67
"Ren A., Rajashankar K.R., Patel D.J.",Fluoride ion encapsulation by Mg2+ ions and phosphates in a fluoride riboswitch,2012,Nature,67
"Sereno P.C., Tan L., Brusatte S.L., Kriegstein H.J., Zhao X., Cloward K.",Tyrannosaurid skeletal design first evolved at small body size,2009,Science,67
"Wang W., Thornton K., Berry A., Long M.",Nucleotide variation along the Drosophila melanogaster fourth chromosome,2002,Science,67
"Zhou Z., Tang A.T., Wong W.-Y., Bamezai S., Goddard L.M., Shenkar R., Zhou S., Yang J., Wright A.C., Foley M., Arthur J.S.C., Whitehead K.J., Awad I.A., Li D.Y., Zheng X., Kahn M.L.",Cerebral cavernous malformations arise from endothelial gain of MEKK3-KLF2/4 signalling,2016,Nature,67
"Flynn T.M., O'Loughlin E.J., Mishra B., DiChristina T.J., Kemner K.M.",Sulfur-mediated electron shuttling during bacterial iron reduction,2014,Science,68
"Harms M.J., Thornton J.W.",Historical contingency and its biophysical basis in glucocorticoid receptor evolution,2014,Nature,69
"Keppler H., Dubrovinsky L.S., Narygina O., Kantor I.",Optical absorption and radiative thermal conductivity of silicate perovskite to 125 gigapascals,2008,Science,69
"Hu L., Lu J., Cheng J., Rao Q., Li Z., Hou H., Lou Z., Zhang L., Li W., Gong W., Liu M., Sun C., Yin X., Li J., Tan X., Wang P., Wang Y., Fang D., Cui Q., Yang P., He C., Jiang H., Luo C., Xu Y.",Structural insight into substrate preference for TET-mediated oxidation,2015,Nature,70
"Jasper A.W., Pelzer K.M., Miller J.A., Kamarchik E., Harding L.B., Klippenstein S.J.",Predictive a priori pressure-dependent kinetics,2014,Science,70
"Rich T.H., Hopson J.A., Musser A.M., Flannery T.F., Vickers-Rich P.",Independent origins of middle ear bones in monotremes and therians,2005,Science,70
"Shechner D.M., Grant R.A., Bagby S.C., Koldobskaya Y., Piccirilli J.A., Bartel D.P.",Crystal structure of the catalytic core of an RNA-Polymerase ribozyme,2009,Science,70
"Shubin N.H., Daeschler E.B., Coates M.I.",The Early Evolution of the Tetrapod Humerus,2004,Science,70
"Tan M.H., Li Q., Shanmugam R., Piskol R., Kohler J., Young A.N., Liu K.I., Zhang R., Ramaswami G., Ariyoshi K., Gupte A., Keegan L.P., George C.X., Ramu A., Huang N., Pollina E.A., Leeman D.S., Rustighi A., Goh Y.P.S., Aguet F., Ardlie K.G., Cummings B.B., Gelfand E.T., Getz G., Hadley K., Handsaker R.E., Huang K.H., Kashin S., Karczewski K.J., Lek M., Li X., MacArthur D.G., Nedzel J.L., Nguyen D.T., Noble M.S., Segrè A.V., Trowbridge C.A., Tukiainen T., Abell N.S., Balliu B., Barshir R., Basha O., Battle A., Bogu G.K., Brown A., Brown C.D., Castel S.E., Chen L.S., Chiang C., Conrad D.F., Cox N.J., Damani F.N., Davis J.R., Delaneau O., Dermitzakis E.T., Engelhardt B.E., Eskin E., Ferreira P.G., Frésard L., Gamazon E.R., Garrido-Martín D., Gewirtz A.D.H., Gliner G., Gloudemans M.J., Guigo R., Hall I.M., Han B., He Y., Hormozdiari F., Howald C., Im H.K., Jo B., Kang E.Y., Kim Y., Kim-Hellmuth S., Lappalainen T., Li G., Li X., Liu B., Mangul S., McCarthy M.I., McDowell I.C., Mohammadi P., Monlong J., Montgomery S.B., Muñoz-Aguirre M., Ndungu A.W., Nicolae D.L., Nobel A.B., Oliva M., Ongen H., Palowitch J.J., Panousis N., Papasaikas P., Park Y., Parsana P., Payne A.J., Peterson C.B., Quan J., Reverter F., Sabatti C., Saha A., Sammeth M., Scott A.J., Shabalin A.A., Sodaei R., Stephens M., Stranger B.E., Strober B.J., Sul J.H., Tsang E.K., Urbut S., Van De Bunt M., Wang G., Wen X., Wright F.A., Xi H.S., Yeger-Lotem E., Zappala Z., Zaugg J.B., Zhou Y.-H., Akey J.M., Bates D., Chan J., Claussnitzer M., Demanelis K., Diegel M., Doherty J.A., Feinberg A.P., Fernando M.S., Halow J., Hansen K.D., Haugen E., Hickey P.F., Hou L., Jasmine F., Jian R., Jiang L., Johnson A., Kaul R., Kellis M., Kibriya M.G., Lee K., Lin J., Lin S., Linder S., Linke C., Liu Y., Maurano M.T., Molinie B., Nelson J., Neri F.J., Park Y., Pierce B.L., Rinaldi N.J., Rizzardi L.F., Sandstrom R., Skol A., Smith K.S., Snyder M.P., Stamatoyannopoulos J., Tang H., Wang L., Wang M., Van Wittenberghe N., Wu F., Nierras C.R., Branton P.A., Carithers L.J., Guan P., Moore H.M., Rao A., Vaught J.B., Gould S.E., Lockart N.C., Martin C., Struewing J.P., Volpi S., Addington A.M., Koester S.E., Little A.R., Brigham L.E., Hasz R., Hunter M., Johns C., Johnson M., Kopen G., Leinweber W.F., Lonsdale J.T., McDonald A., Mestichelli B., Myer K., Roe B., Salvatore M., Shad S., Thomas J.A., Walters G., Washington M., Wheeler J., Bridge J., Foster B.A., Gillard B.M., Karasik E., Kumar R., Miklos M., Moser M.T., Jewell S.D., Montroy R.G., Rohrer D.C., Valley D.R., Davis D.A., Mash D.C., Undale A.H., Smith A.M., Tabor D.E., Roche N.V., McLean J.A., Vatanian N., Robinson K.L., Sobin L., Barcus M.E., Valentino K.M., Qi L., Hunter S., Hariharan P., Singh S., Um K.S., Matose T., Tomaszewski M.M., Barker L.K., Mosavel M., Siminoff L.A., Traino H.M., Flicek P., Juettemann T., Ruffier M., Sheppard D., Taylor K., Trevanion S.J., Zerbino D.R., Craft B., Goldman M., Haeussler M., Kent W.J., Lee C.M., Paten B., Rosenbloom K.R., Vivian J., Zhu J., Chawla A., Del Sal G., Peltz G., Brunet A., Samuel C.E., O'Connell M.A., Walkley C.R., Nishikura K., Li J.B.",Dynamic landscape and regulation of RNA editing in mammals,2017,Nature,70
"Deniz A.A., Peters K.S., Snyder G.J.",Experimental determination of the antiaromaticity of cyclobutadiene,1999,Science,71
"Erdemir A., Ramirez G., Eryilmaz O.L., Narayanan B., Liao Y., Kamath G., Sankaranarayanan S.K.R.S.",Carbon-based tribofilms from lubricating oils,2016,Nature,71
"Stagno J.R., Liu Y., Bhandari Y.R., Conrad C.E., Panja S., Swain M., Fan L., Nelson G., Li C., Wendel D.R., White T.A., Coe J.D., Wiedorn M.O., Knoska J., Oberthuer D., Tuckey R.A., Yu P., Dyba M., Tarasov S.G., Weierstall U., Grant T.D., Schwieters C.D., Zhang J., Ferré-D'Amaré A.R., Fromme P., Draper D.E., Liang M., Hunter M.S., Boutet S., Tan K., Zuo X., Ji X., Barty A., Zatsepin N.A., Chapman H.N., Spence J.C.H., Woodson S.A., Wang Y.-X.",Structures of riboswitch RNA reaction states by mix-and-inject XFEL serial crystallography,2017,Nature,71
"Xia Y., Lu G., Liu P., Dong G.",Catalytic activation of carbon-carbon bonds in cyclopentanones,2016,Nature,71
"Eom J., Cho H., Kang W., Campman K.L., Gossard A.C., Bichler M., Wegscheider W.",Quantum Hall ferromagnetism in a two-dimensional electron system,2000,Science,72
"Hashimoto H., Pais J.E., Zhang X., Saleh L., Fu Z.-Q., Dai N., Corrêa Jr. I.R., Zheng Y., Cheng X.",Structure of a Naegleria Tet-like dioxygenase in complex with 5-methylcytosine DNA,2014,Nature,72
Kidwell S.M.,Shell composition has no net impact on large-scale evolutionary patterns in mollusks,2005,Science,72
"Mao W.L., Mao H.-K., Meng Y., Eng P.J., Hu M.Y., Chow P., Cai Y.Q., Shu J., Hemley R.J.",X-ray-induced dissociation of H2O and formation of an O 2-H2 alloy at high pressure,2006,Science,72
"Westphal A.J., Stroud R.M., Bechtel H.A., Brenker F.E., Butterworth A.L., Flynn G.J., Frank D.R., Gainsforth Z., Hillier J.K., Postberg F., Simionovici A.S., Sterken V.J., Nittler L.R., Allen C., Anderson D., Ansari A., Bajt S., Bastien R.K., Bassim N., Bridges J., Brownlee D.E., Burchell M., Burghammer M., Changela H., Cloetens P., Davis A.M., Doll R., Floss C., Grün E., Heck P.R., Hoppe P., Hudson B., Huth J., Kearsley A., King A.J., Lai B., Leitner J., Lemelle L., Leonard A., Leroux H., Lettieri R., Marchant W., Ogliore R., Ong W.J., Price M.C., Sandford S.A., Tresseras J.-A.S., Schmitz S., Schoonjans T., Schreiber K., Silversmit G., Solé V.A., Srama R., Stadermann F., Stephan T., Stodolna J., Sutton S., Trieloff M., Tsou P., Tyliszczak T., Vekemans B., Vincze L., Von Korff J., Wordsworth N., Zevin D., Zolensky M.E.",Evidence for interstellar origin of seven dust particles collected by the Stardust spacecraft,2014,Science,72
"Dubrovinsky L., Dubrovinskaia N., Bykova E., Bykov M., Prakapenka V., Prescher C., Glazyrin K., Liermann H.-P., Hanfland M., Ekholm M., Feng Q., Pourovskii L.V., Katsnelson M.I., Wills J.M., Abrikosov I.A.",The most incompressible metal osmium at static pressures above 750 gigapascals,2015,Nature,73
"Lee J., Kitchaev D.A., Kwon D.-H., Lee C.-W., Papp J.K., Liu Y.-S., Lun Z., Clément R.J., Shi T., McCloskey B.D., Guo J., Balasubramanian M., Ceder G.",Reversible Mn2+/Mn4+ double redox in lithium-excess cathode materials,2018,Nature,73
"Tukiainen T., Villani A.-C., Yen A., Rivas M.A., Marshall J.L., Satija R., Aguirre M., Gauthier L., Fleharty M., Kirby A., Cummings B.B., Castel S.E., Karczewski K.J., Aguet F., Byrnes A., Gelfand E.T., Getz G., Hadley K., Handsaker R.E., Huang K.H., Kashin S., Lek M., Li X., Nedzel J.L., Nguyen D.T., Noble M.S., Segrè A.V., Trowbridge C.A., Abell N.S., Balliu B., Barshir R., Basha O., Battle A., Bogu G.K., Brown A., Brown C.D., Chen L.S., Chiang C., Conrad D.F., Cox N.J., Damani F.N., Davis J.R., Delaneau O., Dermitzakis E.T., Engelhardt B.E., Eskin E., Ferreira P.G., Frésard L., Gamazon E.R., Garrido-Martín D., Gewirtz A.D.H., Gliner G., Gloudemans M.J., Guigo R., Hall I.M., Han B., He Y., Hormozdiari F., Howald C., Im H.K., Jo B., Kang E.Y., Kim Y., Kim-Hellmuth S., Lappalainen T., Li G., Li X., Liu B., Mangul S., McCarthy M.I., McDowell I.C., Mohammadi P., Monlong J., Montgomery S.B., Muñoz-Aguirre M., Ndungu A.W., Nicolae D.L., Nobel A.B., Oliva M., Ongen H., Palowitch J.J., Panousis N., Papasaikas P., Park Y., Parsana P., Payne A.J., Peterson C.B., Quan J., Reverter F., Sabatti C., Saha A., Sammeth M., Scott A.J., Shabalin A.A., Sodaei R., Stephens M., Stranger B.E., Strober B.J., Sul J.H., Tsang E.K., Urbut S., Van De Bunt M., Wang G., Wen X., Wright F.A., Xi H.S., Yeger-Lotem E., Zappala Z., Zaugg J.B., Zhou Y.-H., Akey J.M., Bates D., Chan J., Claussnitzer M., Demanelis K., Diegel M., Doherty J.A., Feinberg A.P., Fernando M.S., Halow J., Hansen K.D., Haugen E., Hickey P.F., Hou L., Jasmine F., Jian R., Jiang L., Johnson A., Kaul R., Kellis M., Kibriya M.G., Lee K., Li J.B., Li Q., Lin J., Lin S., Linder S., Linke C., Liu Y., Maurano M.T., Molinie B., Nelson J., Neri F.J., Park Y., Pierce B.L., Rinaldi N.J., Rizzardi L.F., Sandstrom R., Skol A., Smith K.S., Snyder M.P., Stamatoyannopoulos J., Tang H., Wang L., Wang M., Van Wittenberghe N., Wu F., Zhang R., Nierras C.R., Branton P.A., Carithers L.J., Guan P., Moore H.M., Rao A., Vaught J.B., Gould S.E., Lockart N.C., Martin C., Struewing J.P., Volpi S., Addington A.M., Koester S.E., Little A.R., Brigham L.E., Hasz R., Hunter M., Johns C., Johnson M., Kopen G., Leinweber W.F., Lonsdale J.T., McDonald A., Mestichelli B., Myer K., Roe B., Salvatore M., Shad S., Thomas J.A., Walters G., Washington M., Wheeler J., Bridge J., Foster B.A., Gillard B.M., Karasik E., Kumar R., Miklos M., Moser M.T., Jewell S.D., Montroy R.G., Rohrer D.C., Valley D.R., Davis D.A., Mash D.C., Undale A.H., Smith A.M., Tabor D.E., Roche N.V., McLean J.A., Vatanian N., Robinson K.L., Sobin L., Barcus M.E., Valentino K.M., Qi L., Hunter S., Hariharan P., Singh S., Um K.S., Matose T., Tomaszewski M.M., Barker L.K., Mosavel M., Siminoff L.A., Traino H.M., Flicek P., Juettemann T., Ruffier M., Sheppard D., Taylor K., Trevanion S.J., Zerbino D.R., Craft B., Goldman M., Haeussler M., Kent W.J., Lee C.M., Paten B., Rosenbloom K.R., Vivian J., Zhu J., Regev A., Ardlie K.G., Hacohen N., MacArthur D.G.",Landscape of X chromosome inactivation across human tissues,2017,Nature,73
"Gallant J.R., Traeger L.L., Volkening J.D., Moffett H., Chen P.-H., Novina C.D., Phillips Jr. G.N., Anand R., Wells G.B., Pinch M., Güth R., Unguez G.A., Albert J.S., Zakon H.H., Samanta M.P., Sussman M.R.",Genomic basis for the convergent evolution of electric organs,2014,Science,74
"Hung C.-L., Gurarie V., Chin C.",From cosmology to cold atoms: Observation of Sakharov oscillations in a quenched atomic superfluid,2013,Science,74
"Schine N., Ryou A., Gromov A., Sommer A., Simon J.",Synthetic Landau levels for photons,2016,Nature,74
"Turanov A.A., Lobanov A.V., Fomenko D.E., Morrison H.G., Sogin M.L., Klobutcher L.A., Hatfield D.L., Gladyshev V.N.",Genetic code supports targeted insertion of two amino acids by one codon,2009,Science,74
"Whicker F.W., Hinton T.G., MacDonell M.M., Pinder III J.E., Habegger L.J.",Avoiding Destructive Remediation at DOE Sites,2004,Science,74
"Wu D., Potluri N., Lu J., Kim Y., Rastinejad F.",Structural integration in hypoxia-inducible factors,2015,Nature,74
"Anderson D.M., Archer D.",Glacial-interglacial stability of ocean pH inferred from foraminifer dissolution rates,2002,Nature,75
"Berkowitz T., Schaeffer M.W., Maloney E.A., Peterson L., Gregor C., Levine S.C., Beilock S.L.",Math at home adds up to achievement in school,2015,Science,75
"Wolke C.T., Fournier J.A., Dzugan L.C., Fagiani M.R., Odbadrakh T.T., Knorke H., Jordan K.D., McCoy A.B., Asmis K.R., Johnson M.A.",Spectroscopic snapshots of the proton-transfer mechanism in water,2016,Science,75
"Das M., Drake T., Wiley D.J., Buchwald P., Vavylonis D., Verde F.",Oscillatory dynamics of Cdc42 GTPase in the control of polarized growth,2012,Science,76
"Weaver J.C., Vaughan T.E., Astumlan R.D.",Biological sensing of small field differences by magnetically sensitive chemical reactions,2000,Nature,76
"Cao Y., Jin X., Huang H., Derebe M.G., Levin E.J., Kabaleeswaran V., Pan Y., Punta M., Love J., Weng J., Quick M., Ye S., Kloss B., Bruni R., Martinez-Hackert E., Hendrickson W.A., Rost B., Javitch J.A., Rajashankar K.R., Jiang Y., Zhou M.","Crystal structure of a potassium ion transporter, TrkH",2011,Nature,77
"Catalli K., Shim S.-H., Prakapenka V.",Thickness and Clapeyron slope of the post-perovskite boundary,2009,Nature,77
"Peters I.R., Majumdar S., Jaeger H.M.",Direct observation of dynamic shear jamming in dense suspensions,2016,Nature,77
Rice S.A.,Interfering for the good of a chemical reaction,2001,Nature,77
"Wang L., Zhou Y., Xu L., Xiao R., Lu X., Chen L., Chong J., Li H., He C., Fu X.-D., Wang D.",Molecular basis for 5-carboxycytosine recognition by RNA polymerase II elongation complex,2015,Nature,77
"Zhang X., Hung C.-L., Tung S.-K., Chin C.",Observation of quantum criticality with ultracold atoms in optical lattices,2012,Science,77
"Marhas K.K., Goswami J.N., Davis A.M.",Short-lived nuclides in hibonite grains from Murchison: Evidence for solar system evolution,2002,Science,79
"Agakishiev H., Aggarwal M.M., Ahammed Z., Alakhverdyants A.V., Alekseev I., Alford J., Anderson B.D., Anson C.D., Arkhipkin D., Averichev G.S., Balewski J., Beavis D.R., Behera N.K., Bellwied R., Betancourt M.J., Betts R.R., Bhasin A., Bhati A.K., Bichsel H., Bielcik J., Bielcikova J., Biritz B., Bland L.C., Bordyuzhin I.G., Borowski W., Bouchet J., Braidot E., Brandin A.V., Bridgeman A., Brovko S.G., Bruna E., Bueltmann S., Bunzarov I., Burton T.P., Cai X.Z., Caines H., Calderon M., Cebra D., Cendejas R., Cervantes M.C., Chajecki Z., Chaloupka P., Chattopadhyay S., Chen H.F., Chen J.H., Chen J.Y., Chen L., Cheng J., Cherney M., Chikanian A., Choi K.E., Christie W., Chung P., Codrington M.J.M., Corliss R., Cramer J.G., Crawford H.J., Davila Leyva A., De Silva L.C., Debbe R.R., Dedovich T.G., Derevschikov A.A., Derradi De Souza R., Didenko L., Djawotho P., Dogra S.M., Dong X., Drachenberg J.L., Draper J.E., Dunlop J.C., Efimov L.G., Elnimr M., Engelage J., Eppley G., Estienne M., Eun L., Evdokimov O., Fatemi R., Fedorisin J., Fersch R.G., Filip P., Finch E., Fine V., Fisyak Y., Gagliardi C.A., Gangadharan D.R., Geurts F., Ghosh P., Gorbunov Y.N., Gordon A., Grebenyuk O.G., Grosnick D., Guertin S.M., Gupta A., Gupta S., Guryn W., Haag B., Hajkova O., Hamed A., Han L.-X., Harris J.W., Hays-Wehle J.P., Heinz M., Heppelmann S., Hirsch A., Hjort E., Hoffmann G.W., Hofman D.J., Huang B., Huang H.Z., Humanic T.J., Huo L., Igo G., Jacobs P., Jacobs W.W., Jena C., Jin F., Joseph J., Judd E.G., Kabana S., Kang K., Kapitan J., Kauder K., Ke H.W., Keane D., Kechechyan A., Kettler D., Kikola D.P., Kiryluk J., Kisiel A., Kizka V., Klein S.R., Knospe A.G., Koetke D.D., Kollegger T., Konzer J., Koralt I., Koroleva L., Korsch W., Kotchenda L., Kouchpil V., Kravtsov P., Krueger K., Krus M., Kumar L., Kurnadi P., Lamont M.A.C., Landgraf J.M., Lapointe S., Lauret J., Lebedev A., Lednicky R., Lee J.H., Leight W., Levine M.J., Li C., Li L., Li N., Li W., Li X., Li X., Li Y., Li Z.M., Lisa M.A., Liu F., Liu H., Liu J., Ljubicic T., Llope W.J., Longacre R.S., Love W.A., Lu Y., Lukashov E.V., Luo X., Ma G.L., Ma Y.G., Mahapatra D.P., Majka R., Mall O.I., Manweiler R., Margetis S., Markert C., Masui H., Matis H.S., Matulenko Y.A., McDonald D., McShane T.S., Meschanin A., Milner R., Minaev N.G., Mioduszewski S., Mitrovski M.K., Mohammed Y., Mohanty B., Mondal M.M., Morozov B., Morozov D.A., Munhoz M.G., Mustafa M.K., Naglis M., Nandi B.K., Nayak T.K., Netrakanti P.K., Nogach L.V., Nurushev S.B., Odyniec G., Ogawa A., Oh K., Ohlson A., Okorokov V., Oldag E.W., Olson D., Pachr M., Page B.S., Pal S.K., Pandit Y., Panebratsev Y., Pawlak T., Pei H., Peitzmann T., Perkins C., Peryt W., Pile P., Planinic M., Ploskon M.A., Pluta J., Plyku D., Poljak N., Porter J., Poskanzer A.M., Potukuchi B.V.K.S., Powell C.B., Prindle D., Pruneau C., Pruthi N.K., Pujahari P.R., Putschke J., Qiu H., Raniwala R., Raniwala S., Ray R.L., Redwine R., Reed R., Ritter H.G., Roberts J.B., Rogachevskiy O.V., Romero J.L., Ruan L., Rusnak J., Sahoo N.R., Sakrejda I., Salur S., Sandweiss J., Sangaline E., Sarkar A., Schambach J., Scharenberg R.P., Schmah A.M., Schmitz N., Schuster T.R., Seele J., Seger J., Selyuzhenkov I., Seyboth P., Shah N., Shahaliev E., Shao M., Sharma M., Shi S.S., Shou Q.Y., Sichtermann E.P., Simon F., Singaraju R.N., Skoby M.J., Smirnov N., Solanki D., Sorensen P., Spinka H.M., Srivastava B., Stanislaus T.D.S., Staszak D., Steadman S.G., Stevens J.R., Stock R., Strikhanov M., Stringfellow B., Suaide A.A.P., Suarez M.C., Subba N.L., Sumbera M., Sun X.M., Sun Y., Sun Z., Surrow B., Svirida D.N., Symons T.J.M., Szanto De Toledo A., Takahashi J., Tang A.H., Tang Z., Tarini L.H., Tarnowsky T., Thein D., Thomas J.H., Tian J., Timmins A.R., Tlusty D., Tokarev M., Trainor T.A., Trentalange S., Tribble R.E., Tribedy P., Tsai O.D., Ullrich T., Underwood D.G., Van Buren G., Van Nieuwenhuizen G., Vanfossen Jr J.A., Varma R., Vasconcelos G.M.S., Vasiliev A.N., Videbaek F., Viyogi Y.P., Vokal S., Voloshin S.A., Wada M., Walker M., Wang F., Wang G., Wang H., Wang J.S., Wang Q., Wang X.L., Wang Y., Webb G., Webb J.C., Westfall G.D., Whitten Jr. C.W.C., Wieman H., Wissink S.W., Witt R., Witzke W., Wu Y.F., Xiao Z., Xie W., Xu H., Xu N., Xu Q.H., Xu W., Xu Y., Xu Z., Xue L., Yang Y., Yang Y., Yepes P., Yip K., Yoo I.-K., Zawisza M., Zbroszczyk H., Zhan W., Zhang J.B., Zhang S., Zhang W.M., Zhang X.P., Zhang Y., Zhang Z.P., Zhao F., Zhao J., Zhong C., Zhou W., Zhu X., Zhu Y.H., Zoulkarneev R., Zoulkarneeva. Y.",Observation of the antimatter helium-4 nucleus,2011,Nature,80
"Yi C., Jia G., Hou G., Dai Q., Zhang W., Zheng G., Jian X., Yang C.-G., Cui Q., He C.",Iron-catalysed oxidation intermediates captured in a DNA repair dioxygenase,2010,Nature,80
