Authors,Title,Year,Source title,Cited by
"Jones K.E., Angielczyk K.D., Polly P.D., Head J.J., Fernandez V., Lungmus J.K., Tulga S., Pierce S.E.",Fossils reveal the complex evolutionary history of the mammalian regionalized spine,2018,Science,3
"Lee D., Chung B., Shi Y., Kim G.-Y., Campbell N., Xue F., Song K., Choi S.-Y., Podkaminer J.P., Kim T.H., Ryan P.J., Kim J.-W., Paudel T.R., Kang J.-H., Spinuzzi J.W., Tenne D.A., Tsymbal E.Y., Rzchowski M.S., Chen L.Q., Lee J., Eom C.B.",Isostructural metal-insulator transition in VO 2,2018,Science,3
Przeworski M.,Motivating hotspots,2005,Science,3
"Wible B., Azoulay P., Graff-Zivin J., Uzzi B., Wang D., Williams H., Evans J.A., Zhe Jin G., Feng Lu S., Jones B.F., Börner K., Lakhani K.R., Boudreau K.J., Guinan E.C.",Toward a more scientific science,2018,Science,3
"Buratti B.J., Thomas P.C., Roussos E., Howett C., Seiß M., Hendrix A.R., Helfenstein P., Brown R.H., Clark R.N., Denk T., Filacchione G., Hoffmann H., Jones G.H., Khawaja N., Kollmann P., Krupp N., Lunine J., Momary T.W., Paranicas C., Postberg F., Sachse M., Spahn F., Spencer J., Srama R., Albin T., Baines K.H., Ciarniello M., Economou T., Hsu H.-W., Kempf S., Krimigis S.M., Mitchell D., Moragas-Klostermeyer G., Nicholson P.D., Porco C.C., Rosenberg H., Simolka J., Soderblom L.A.","Close Cassini flybys of Saturn’s ring moons Pan, Daphnis, Atlas, Pandora, and Epimetheus",2019,Science,4
"Case L.B., Zhang X., Ditlev J.A., Rosen M.K.",Stoichiometry controls activity of phase-separated clusters of actin signaling proteins,2019,Science,4
Coyne J.A.,The self-centred meme,1999,Nature,4
"Faith J.T., Rowan J., Du A., Koch P.L.",Plio-Pleistocene decline of African megaherbivores: No evidence for ancient hominin impacts,2018,Science,4
Kronfeld A.S.,The weight of the world is quantum chromodynamics,2008,Science,4
Oka T.,Planet formation: Enigmatic emission,2002,Nature,4
