strain,id,sex,totalbody,femur,spine
SM/J,SM_12,M,0.0487,0.0628,0.0542
SM/J,SM_15,M,0.0468,0.0691,0.0516
SM/J,SM_10,M,0.0516,0.0626,0.0513
SM/J,SM_16,M,0.0459,0.0634,0.0504
SM/J,SM_11,M,0.0482,0.0644,0.0517
SWR/J,SWR_11,M,0.0497,0.0707,0.0551
SWR/J,SWR_12,M,0.0505,0.0666,0.0559
SWR/J,SWR_1,M,0.0513,0.0720,0.0594
SWR/J,SWR_3,M,0.0479,0.0696,0.0539
SWR/J,SWR_9,M,0.0510,0.0722,0.0583
SWR/J,SWR_2,M,0.0524,0.0647,0.0572
SWR/J,SWR_8,M,0.0482,0.0681,0.0564
SWR/J,SWR_6,M,0.0502,0.0691,0.0638
SWR/J,SWR_5,M,0.0467,0.0669,0.0560
SWR/J,SWR_7,M,0.0509,0.0663,0.0611
SWR/J,SWR_10,M,0.0467,0.0597,0.0553
SWR/J,SWR_4,M,0.0466,0.0628,0.0555
