Authors,Title,Year,Source title,Page start,Page end,Cited by
"Ordonez, A., Williams, J.W.",Climatic and biotic velocities for woody taxa distributions over the last 16 000 years in eastern North America,2013,Ecology Letters,773,781,22
"Rodríguez, R.L., Boughman, J.W., Gray, D.A., Hebets, E.A., Höbel, G., Symes, L.B.",Diversification under sexual selection: The relative roles of mate preference strength and the degree of divergence in mate preferences,2013,Ecology Letters,964,974,22
"Streicker, D.G., Fenton, A., Pedersen, A.B.",Differential sources of host species heterogeneity influence the transmission and control of multihost parasites,2013,Ecology Letters,975,984,22
"Turnbull, L.A., Levine, J.M., Loreau, M., Hector, A.","Coexistence, niches and biodiversity effects on ecosystem functioning",2013,Ecology Letters,116,127,22
"Moret, Y., Schmid-Hempel, P.",Social life-history response to individual immune challenge of workers of Bombus terrestris L.: A possible new cooperative phenomenon,2004,Ecology Letters,146,152,23
"Hewison, A.J.M., Gaillard, J.-M., Kjellander, P., Toïgo, C., Liberg, O., Delorme, D.",Big mothers invest more in daughters - Reversed sex allocation in a weakly polygynous mammal,2005,Ecology Letters,430,437,23
"Okuyama, T., Bolker, B.M.",On quantitative measures of indirect interactions,2007,Ecology Letters,264,271,23
"Englund, G., Johansson, F., Olofsson, P., Salonsaari, J., Öhman, J.",Predation leads to assembly rules in fragmented fish communities,2009,Ecology Letters,663,671,23
"Lloyd, J., Gloor, E.U., Lewis, S.L.",Are the dynamics of tropical forests dominated by large and rare disturbance events?,2009,Ecology Letters,,,23
"Olsen, E.M., Carlson, S.M., Gjøsæter, J., Stenseth, N.C.",Nine decades of decreasing phenotypic variability in Atlantic cod,2009,Ecology Letters,622,631,23
"Dahlgren, J.P.",Alternative regression methods are not considered in Murtaugh (2009) or by ecologists in general,2010,Ecology Letters,,,23
"Murphy, H.T., VanDerWal, J., Lovett-Doust, J.",Signatures of range expansion and erosion in eastern North American trees,2010,Ecology Letters,1233,1244,23
"Shears, N.T., Ross, P.M.",Toxic cascades: Multiple anthropogenic stressors have complex and unanticipated interactive effects on temperate reefs,2010,Ecology Letters,1149,1159,23
"Garbutt, J., Bonsall, M.B., Wright, D.J., Raymond, B.",Antagonistic competition moderates virulence in Bacillus thuringiensis,2011,Ecology Letters,765,772,23
"Getz, W.M.",Biomass transformation webs provide a unified approach to consumer-resource modelling,2011,Ecology Letters,113,124,23
"Vercken, E., Kramer, A.M., Tobin, P.C., Drake, J.M.","Critical patch size generated by Allee effect in gypsy moth, Lymantria dispar (L.)",2011,Ecology Letters,179,186,23
"Geiselhardt, S., Otte, T., Hilker, M.",Looking for a similar partner: Host plants shape mating preferences of herbivorous insects by altering their contact pheromones,2012,Ecology Letters,971,977,23
"Sperfeld, E., Martin-Creuzburg, D., Wacker, A.",Multiple resource limitation theory applied to herbivorous consumers: Liebig's minimum rule vs. interactive co-limitation,2012,Ecology Letters,142,150,23
"Verreydt, D., De Meester, L., Decaestecker, E., Villena, M.-J., Van Der Gucht, K., Vannormelingen, P., Vyverman, W., Declerck, S.A.",Dispersal-mediated trophic interactions can generate apparent patterns of dispersal limitation in aquatic metacommunities,2012,Ecology Letters,218,226,23
"Yasuhara, M., Hunt, G., Dowsett, H.J., Robinson, M.M., Stoll, D.K.",Latitudinal species diversity gradient of marine zooplankton for the last three million years,2012,Ecology Letters,1174,1179,23
"Amo, L., Jansen, J.J., van Dam, N.M., Dicke, M., Visser, M.E.",Birds exploit herbivore-induced plant volatiles to locate herbivorous prey,2013,Ecology Letters,1348,1355,23
"Bitume, E.V., Bonte, D., Ronce, O., Bach, F., Flaven, E., Olivieri, I., Nieberding, C.M.",Density and genetic relatedness increase dispersal distance in a subsocial organism,2013,Ecology Letters,430,437,23
"Calinger, K.M., Queenborough, S., Curtis, P.S.",Herbarium specimens reveal the footprint of climate change on flowering trends across north-central North America,2013,Ecology Letters,1037,1044,23
"Januchowski-Hartley, F.A., Graham, N.A.J., Cinner, J.E., Russ, G.R.",Spillover of fish naïveté from marine reserves,2013,Ecology Letters,191,197,23
"Poisot, T., Mouquet, N., Gravel, D.",Trophic complementarity drives the biodiversity-ecosystem functioning relationship in food webs,2013,Ecology Letters,853,861,23
"Lyons, S.K., Smith, F.A., Wagner, P.J., White, E.P., Brown, J.H.",Was a 'hyperdisease' responsible for the late Pleistocene megafaunal extinction?,2004,Ecology Letters,859,868,24
"Symonds, M.R.E., Elgar, M.A.","Species overlap, speciation and the evolution of aggregation pheromones in bark beetles",2004,Ecology Letters,202,212,24
"Tessier, A.J., Cáceres, C.E.",Differentiation in sex investment by clones and populations of Daphnia,2004,Ecology Letters,695,703,24
"Guo, Q., Qian, H., Ricklefs, R.E., Xi, W.",Distributions of exotic plants in eastern Asia and North America,2006,Ecology Letters,827,834,24
"Joppa, L.N., Bascompte, J., Montoya, J.M., Solé, R.V., Sanderson, J., Pimm, S.L.",Reciprocal specialization in ecological networks,2009,Ecology Letters,961,969,24
"Berger-Tal, O., Mukherjee, S., Kotler, B.P., Brown, J.S.",Complex state-dependent games between owls and gerbils,2010,Ecology Letters,302,310,24
"Silberbush, A., Markman, S., Lewinsohn, E., Bar, E., Cohen, J.E., Blaustein, L.",Predator-released hydrocarbons repel oviposition by a mosquito,2010,Ecology Letters,1129,1138,24
"Martin, J.G.A., Festa-Bianchet, M.",Age-independent and age-dependent decreases in reproduction of females,2011,Ecology Letters,576,581,24
"Wilson, H.B., Joseph, L.N., Moore, A.L., Possingham, H.P.",When should we save the most endangered species?,2011,Ecology Letters,886,890,24
"Jansson, M., Karlsson, J., Jonsson, A.",Carbon dioxide supersaturation promotes primary production in lakes,2012,Ecology Letters,527,532,24
"Kelehear, C., Brown, G.P., Shine, R.",Rapid evolution of parasite life history traits on an expanding range-edge,2012,Ecology Letters,329,337,24
"Knapp, S., Kühn, I.",Origin matters: Widely distributed native and non-native species benefit from different functional traits,2012,Ecology Letters,696,703,24
"Shapiro, L., De Moraes, C.M., Stephenson, A.G., Mescher, M.C.",Pathogen effects on vegetative and floral odours mediate vector attraction and host exposure in a complex pathosystem,2012,Ecology Letters,1430,1438,24
"Smith, B.T., Bryson Jr., R.W., Houston, D.D., Klicka, J.",An asymmetry in niche conservatism contributes to the latitudinal species diversity gradient in New World vertebrates,2012,Ecology Letters,1318,1325,24
"Stark, S.C., Leitold, V., Wu, J.L., Hunter, M.O., de Castilho, C.V., Costa, F.R.C., Mcmahon, S.M., Parker, G.G., Shimabukuro, M.T., Lefsky, M.A., Keller, M., Alves, L.F., Schietti, J., Shimabukuro, Y.E., Brandão, D.O., Woodcock, T.K., Higuchi, N., de Camargo, P.B., de Oliveira, R.C., Saleska, S.R.",Amazon forest carbon dynamics predicted by profiles of canopy leaf area and light environment,2012,Ecology Letters,1406,1414,24
"Cameron, T.C., O'Sullivan, D., Reynolds, A., Piertney, S.B., Benton, T.G.",Eco-evolutionary dynamics in response to selection on life-history,2013,Ecology Letters,754,763,24
"Kearney, R.M.",Activity restriction and the mechanistic basis for extinctions under climate warming,2013,Ecology Letters,1470,1479,24
"Pearse, I.S., Altermatt, F.",Predicting novel trophic interactions in a non-native world,2013,Ecology Letters,1088,1094,24
"Lu, Y.-B., Liu, S.-S., Liu, Y.-Q., Furlong, M.J., Zalucki, M.P.",Contrary effects of jasmonate treatment of two closely related plant species on attraction of and oviposition by a specialist herbivore,2004,Ecology Letters,337,345,25
"André, J.-B., Godelle, B.",Multicellular organization in bacteria as a target for drug therapy,2005,Ecology Letters,800,810,25
"Harpole, W.S., Suding, K.N.",Frequency-dependence stabilizes competitive interactions among four annual plants,2007,Ecology Letters,1164,1169,25
"Carnicer, J., Abrams, P.A., Jordano, P.","Switching behavior, coexistence and diversification: Comparing empirical community-wide evidence with theoretical predictions",2008,Ecology Letters,802,808,25
"McDonald-Madden, E., Bode, M., Game, E.T., Grantham, H., Possingham, H.P.",The need for speed: Informed land acquisitions for conservation in a dynamic property market,2008,Ecology Letters,1169,1177,25
"Metcalf, C.J.E., Mitchell-Olds, T.",Life history in a model system: Opening the black box with Arabidopsis thaliana,2009,Ecology Letters,593,600,25
"Ruokolainen, L., Ranta, E., Kaitala, V., Fowler, M.S.",When can we distinguish between neutral and non-neutral processes in community dynamics under ecological drift?,2009,Ecology Letters,909,919,25
"Veran, S., Beissinger, S.R.",Demographic origins of skewed operational and adult sex ratios: Perturbation analyses of two-sex models,2009,Ecology Letters,129,143,25
"Blanchet, S., Grenouillet, G., Beauchard, O., Tedesco, P.A., Leprieur, F., Dürr, H.H., Busson, F., Oberdorff, T., Brosse, S.",Non-native species disrupt the worldwide patterns of freshwater fish body size: Implications for Bergmann's rule,2010,Ecology Letters,421,431,25
"Mokany, K., Harwood, T.D., Overton, J.M., Barker, G.M., Ferrier, S.",Combining α- and β-diversity models to fill gaps in our knowledge of biodiversity,2011,Ecology Letters,1043,1051,25
"Yguel, B., Bailey, R., Tosh, N.D., Vialatte, A., Vasseur, C., Vitrac, X., Jean, F., Prinzing, A.",Phytophagy on phylogenetically isolated trees: Why hosts should escape their relatives,2011,Ecology Letters,1117,1124,25
"Genung, M.A., Bailey, J.K., Schweitzer, J.A.",Welcome to the neighbourhood: Interspecific genotype by genotype interactions in Solidago influence above- and belowground biomass and associated communities,2012,Ecology Letters,65,73,25
"Hahn, M.A., Buckley, Y.M., Müller-Schärer, H.",Increased population growth rate in invasive polyploid Centaurea stoebe in a common garden,2012,Ecology Letters,947,954,25
"Pincebourde, S., Sanford, E., Casas, J., Helmuth, B.",Temporal coincidence of environmental stress events modulates predation rates,2012,Ecology Letters,680,688,25
"Alex Perkins, T., Phillips, B.L., Baskett, M.L., Hastings, A.",Evolution of dispersal and life history interact to drive accelerating spread of an invasive species,2013,Ecology Letters,1079,1087,25
"González-Suárez, M., Revilla, E.",Variability in life-history and ecological traits is a buffer against extinction in mammals,2013,Ecology Letters,242,251,25
"Hutter, C.R., Guayasamin, J.M., Wiens, J.J.",Explaining Andean megadiversity: The evolutionary and ecological causes of glassfrog elevational richness patterns,2013,Ecology Letters,1135,1144,25
"Wapnick, C.M., Precht, W.F., Aronson, R.B.","Millennial-scale dynamics of staghorn coral in Discovery Bay, Jamaica",2004,Ecology Letters,354,361,26
"Scholes, L., Warren, P.H., Beckerman, A.P.",The combined effects of energy and disturbance on species richness in protist microcosms,2005,Ecology Letters,730,738,26
"Garamszegi, L.Z.",The evolution of virulence and host specialization in malaria parasites of primates,2006,Ecology Letters,933,940,26
"Snyder, R.E.",Multiple risk reduction mechanisms: Can dormancy substitute for dispersal?,2006,Ecology Letters,1106,1114,26
"Vellend, M., Knight, T.M., Drake, J.M.",Antagonistic effects of seed dispersal and herbivory on plant migration,2006,Ecology Letters,316,323,26
"Lancaster, L.T., McAdam, A.G., Wingfield, J.C., Sinervo, B.R.",Adaptive social and maternal induction of antipredator dorsal patterns in a lizard with alternative social strategies,2007,Ecology Letters,798,808,26
"Pringle, R.M., Fox-Dobbs, K.",Coupling of canopy and understory food webs by ground-dwelling predators,2008,Ecology Letters,1328,1337,26
"Benincà, E., Jöhnk, K.D., Heerkloss, R., Huisman, J.",Coupled predator-prey oscillations in a chaotic food web,2009,Ecology Letters,1367,1378,26
"Collins, S., Gardner, A.","Integrating physiological, ecological and evolutionary change: A Price equation approach",2009,Ecology Letters,744,757,26
"Crutsinger, G.M., Cadotte, M.W., Sanders, N.J.",Plant genetics shapes inquiline community structure across spatial scales,2009,Ecology Letters,285,292,26
"Olson, M.E., Aguirre-Hernández, R., Rosell, J.A.","Universal foliage-stem scaling across environments and species in dicot trees: Plasticity, biomechanics and Corner's Rules",2009,Ecology Letters,210,219,26
"Klug, H., Lindström, K., Kokko, H.",Who to include in measures of sexual selection is no trivial matter,2010,Ecology Letters,1094,1102,26
"Parker, J.D., Salminen, J.-P., Agrawal, A.A.",Herbivory enhances positive effects of plant genotypic diversity,2010,Ecology Letters,553,563,26
"Almbro, M., Dowling, D.K., Simmons, L.W.",Effects of vitamin E and beta-carotene on sperm competitiveness,2011,Ecology Letters,891,895,26
"Jaenike, J., Brekke, T.D.",Defensive endosymbionts: A cryptic trophic level in community ecology,2011,Ecology Letters,150,155,26
"Mathot, K.J., Van den Hout, P.J., Piersma, T., Kempenaers, B., Réale, D., Dingemanse, N.J.",Disentangling the roles of frequency-vs. state-dependence in generating individual differences in behavioural plasticity,2011,Ecology Letters,1254,1262,26
"Dawson, W., Fischer, M., van Kleunen, M.","Common and rare plant species respond differently to fertilisation and competition, whether they are alien or native",2012,Ecology Letters,873,880,26
"Bennett, J.A., Lamb, E.G., Hall, J.C., Cardinal-Mcteague, W.M., Cahill, J.F.",Increased competition does not lead to increased phylogenetic overdispersion in a native grassland,2013,Ecology Letters,1168,1176,26
"Bernhardsson, C., Robinson, K.M., Abreu, I.N., Jansson, S., Albrectsen, B.R., Ingvarsson, P.K.",Geographic structure in metabolome and herbivore community co-occurs with genetic structure in plant defence genes,2013,Ecology Letters,791,798,26
"Jürgens, A., Wee, S.-L., Shuttleworth, A., Johnson, S.D.",Chemical mimicry of insect oviposition sites: A global analysis of convergence in angiosperms,2013,Ecology Letters,1157,1167,26
"Mcnickle, G.G., Dybzinski, R.",Game theory and plant ecology,2013,Ecology Letters,545,555,26
"Moore, D.J.P., Trahan, N.A., Wilkes, P., Quaife, T., Stephens, B.B., Elder, K., Desai, A.R., Negron, J., Monson, R.K.",Persistent reduced ecosystem respiration after insect disturbance in high elevation forests,2013,Ecology Letters,731,737,26
"Miner, B.G., Vonesh, J.R.",Effects of fine grain environmental variability on morphological plasticity,2004,Ecology Letters,794,801,27
"Herben, T.",Species pool size and invasibility of island communities: A null model of sampling effects,2005,Ecology Letters,909,917,27
"Willis, T.J., Millar, R.B.",Using marine reserves to estimate fishing mortality,2005,Ecology Letters,47,52,27
"Schönrogge, K., Gardner, M.G., Elmes, G.W., Napper, E.K.V., Simcox, D.J., Wardlaw, J.C., Breen, J., Barr, B., Knapp, J.J., Pickett, J.A., Thomas, J.A.",Host propagation permits extreme local adaptation in a social parasite of ants,2006,Ecology Letters,1032,1040,27
"Leimu, R., Kloss, L., Fischer, M.","Effects of experimental inbreeding on herbivore resistance and plant fitness: The role of history of inbreeding, herbivory and abiotic factors",2008,Ecology Letters,1101,1110,27
"Andrew, C., Lilleskov, E.A.",Productivity and community structure of ectomycorrhizal fungal sporocarps under increased atmospheric CO<inf>2</inf> and O<inf>3</inf>,2009,Ecology Letters,813,822,27
"Preisser, E.L., Bolnick, D.I., Grabowski, J.H.",Resource dynamics influence the strength of non-consumptive predator effects on prey,2009,Ecology Letters,315,323,27
"de Mazancourt, C., Schwartz, M.W.",A resource ratio theory of cooperation,2010,Ecology Letters,349,359,27
"Jongejans, E., de Kroon, H., Tuljapurkar, S., Shea, K.",Plant populations track rather than buffer climate fluctuations,2010,Ecology Letters,736,743,27
"Northfield, T.D., Snyder, G.B., Ives, A.R., Snyder, W.E.",Niche saturation reveals resource partitioning among consumers,2010,Ecology Letters,338,348,27
"Ryabov, A.B., Blasius, B.",A graphical theory of competition on spatial resource gradients,2011,Ecology Letters,220,228,27
"Cahoon, S.M.P., Sullivan, P.F., Shaver, G.R., Welker, J.M., Post, E.",Interactions among shrub cover and the soil microclimate may determine future Arctic carbon budgets,2012,Ecology Letters,1415,1422,27
"Kohl, K.D., Dearing, M.D.",Experience matters: Prior exposure to plant toxins enhances diversity of gut microbes in herbivores,2012,Ecology Letters,1008,1015,27
"Morgan, A.D., Quigley, B.J.Z., Brown, S.P., Buckling, A.",Selection on non-social traits limits the invasion of social cheats,2012,Ecology Letters,841,846,27
"Robinson, M.R., Mar, K.U., Lummaa, V.",Senescence and age-specific trade-offs between reproduction and survival in female Asian elephants,2012,Ecology Letters,260,266,27
"Sato, T., Egusa, T., Fukushima, K., Oda, T., Ohte, N., Tokuchi, N., Watanabe, K., Kanaiwa, M., Murakami, I., Lafferty, K.D.",Nematomorph parasites indirectly alter the food web and ecosystem function of streams through behavioural manipulation of their cricket hosts,2012,Ecology Letters,786,793,27
"Schuldt, A., Bruelheide, H., Durka, W., Eichenberg, D., Fischer, M., Kröber, W., Härdtle, W., Ma, K., Michalski, S.G., Palm, W.-U., Schmid, B., Welk, E., Zhou, H., Assmann, T.",Plant traits affecting herbivory on tree recruits in highly diverse subtropical forests,2012,Ecology Letters,732,739,27
"Throckmorton, H.M., Bird, J.A., Dane, L., Firestone, M.K., Horwath, W.R.",The source of microbial C has little impact on soil organic matter stabilisation in forest ecosystems,2012,Ecology Letters,1257,1265,27
"Crowther, T.W., Bradford, M.A.",Thermal acclimation in widespread heterotrophic soil microbes,2013,Ecology Letters,469,477,27
"Molnár, P.K., Kutz, S.J., Hoar, B.M., Dobson, A.P.",Metabolic approaches to understanding climate change impacts on seasonal host-macroparasite dynamics,2013,Ecology Letters,9,21,27
"Narwani, A., Alexandrou, M.A., Oakley, T.H., Carroll, I.T., Cardinale, B.J.",Experimental evidence that evolutionary relatedness does not affect the ecological mechanisms of coexistence in freshwater green algae,2013,Ecology Letters,1373,1381,27
"Cory, J.S., Myers, J.H.",Adaptation in an insect host-plant pathogen interaction,2004,Ecology Letters,632,639,28
"Fujiwara, M., Kendall, B.E., Nisbet, R.M.",Growth autocorrelation and animal size variation,2004,Ecology Letters,106,113,28
"He, F., Hu, X.-S.",Hubbell's fundamental biodiversity parameter and the Simpson diversity index,2005,Ecology Letters,386,390,28
"Rajaniemi, T.K., Goldberg, D.E., Turkington, R., Dyer, A.R.",Quantitative partitioning of regional and local processes shaping regional diversity patterns,2006,Ecology Letters,121,128,28
"Jasmin, J.-N., Kassen, R.",On the experimental evolution of specialization and diversity in heterogeneous environments,2007,Ecology Letters,272,281,28
"McCarthy, M.A., Thompson, C.J., Hauser, C., Burgman, M.A., Possingham, H.P., Moir, M.L., Tiensin, T., Gilbert, M.",Resource allocation for efficient environmental management,2010,Ecology Letters,1280,1289,28
"Salomon, Y., Connolly, S.R., Bode, L.",Effects of asymmetric dispersal on the coexistence of competing species,2010,Ecology Letters,432,441,28
"Barrett, L.G., Bell, T., Dwyer, G., Bergelson, J.","Cheating, trade-offs and the evolution of aggressiveness in a natural pathogen population",2011,Ecology Letters,1149,1157,28
"Scheuring, I., Yu, D.W.",How to assemble a beneficial microbiome in three easy steps,2012,Ecology Letters,1300,1307,28
"Vasseur, F., Violle, C., Enquist, B.J., Granier, C., Vile, D.",A common genetic basis to the origin of the leaf economics spectrum and metabolic scaling allometry,2012,Ecology Letters,1149,1157,28
"Lehtonen, P., Helander, M., Wink, M., Sporer, F., Saikkonen, K.",Transfer of endophyte-origin defensive alkaloids from a grass to a hemiparasitic plant,2005,Ecology Letters,1256,1263,29
"Navarrete, S.A., Berlow, E.L.",Variable interaction strengths stabilize marine community pattern,2006,Ecology Letters,526,536,29
"Wonham, M.J., Pachepsky, E.",A null model of temporal trends in biological invasion records,2006,Ecology Letters,663,672,29
"Haridas, C.V., Tuljapurkar, S.","Time, transients and elasticity",2007,Ecology Letters,1143,1153,29
"Game, E.T., Bode, M., McDonald-Madden, E., Grantham, H.S., Possingham, H.P.",Dynamic marine protected areas can improve the resilience of coral reef systems,2009,Ecology Letters,1336,1345,29
"Blande, J.D., Holopainen, J.K., Li, T.",Air pollution impedes plant-to-plant communication by volatiles,2010,Ecology Letters,1172,1181,29
"Goto, R., Okamoto, T., Toby Kiers, E., Kawakita, A., Kato, M.",Selective flower abortion maintains moth cooperation in a newly discovered pollination mutualism,2010,Ecology Letters,321,329,29
"Jani, A.J., Faeth, S.H., Gardner, D.",Asexual endophytes and associated alkaloids alter arthropod community structure and increase herbivore abundances on a native grass,2010,Ecology Letters,106,117,29
"Rip, J.M.K., Mccann, K.S.",Cross-ecosystem differences in stability and the principle of energy flux,2011,Ecology Letters,733,740,29
"Charlotte Jandér, K., Herre, E.A., Simms, E.L.",Precision of host sanctions in the fig tree-fig wasp mutualism: Consequences for uncooperative symbionts,2012,Ecology Letters,1362,1369,29
"Kalinkat, G., Schneider, F.D., Digel, C., Guill, C., Rall, B.C., Brose, U.","Body masses, functional responses and predator-prey stability",2013,Ecology Letters,1126,1134,29
"Jeyasingh, P.D., Weider, L.J.",Phosphorus availability mediates plasticity in life-history traits and predator-prey interactions in Daphnia,2005,Ecology Letters,1021,1028,30
"Kerr, J.T., Perring, M., Currie, D.J.",The missing Madagascan mid-domain effect,2006,Ecology Letters,149,159,30
"Whitehead, H., McGill, B., Worm, B.",Diversity of deep-water cetaceans in relation to temperature: Implications for ocean warming,2008,Ecology Letters,1198,1207,30
"Srivastava, D.S., Bell, T.",Reducing horizontal and vertical diversity in a foodweb triggers extinctions and impacts functions,2009,Ecology Letters,1016,1028,30
"Talhelm, A.F., Pregitzer, K.S., Zak, D.R.",Species-specific responses to atmospheric carbon dioxide and tropospheric ozone mediate changes in soil carbon,2009,Ecology Letters,1219,1228,30
"Laca, E.A., Sokolow, S., Galli, J.R., Cangiano, C.A.",Allometry and spatial scales of foraging in mammalian herbivores,2010,Ecology Letters,311,320,30
"Rodríguez-Castañeda, G., Dyer, L.A., Brehm, G., Connahs, H., Forkner, R.E., Walla, T.R.",Tropical forests are not flat: How mountains affect herbivore diversity,2010,Ecology Letters,1348,1357,30
"Desneux, N., Blahnik, R., Delebecque, C.J., Heimpel, G.E.",Host phylogeny and specialisation in parasitoids,2012,Ecology Letters,453,460,30
"Eklöf, J.S., Alsterberg, C., Havenhand, J.N., Sundbäck, K., Wood, H.L., Gamfeldt, L.",Experimental climate change weakens the insurance effect of biodiversity,2012,Ecology Letters,864,872,30
"Encinas-Viso, F., Revilla, T.A., Etienne, R.S.",Phenology drives mutualistic network structure and diversity,2012,Ecology Letters,198,208,30
"Nieberding, C.M., Fischer, K., Saastamoinen, M., Allen, C.E., Wallin, E.A., Hedenström, E., Brakefield, P.M.",Cracking the olfactory code of a butterfly: The scent of ageing,2012,Ecology Letters,415,424,30
"Bestelmeyer, B.T., Duniway, M.C., James, D.K., Burkett, L.M., Havstad, K.M.",A test of critical thresholds and their indicators in a desertification-prone ecosystem: More resilience than we thought,2013,Ecology Letters,339,345,30
"Goldsmith, G.R., Matzke, N.J., Dawson, T.E.",The incidence and implications of clouds for cloud forest plant water relations,2013,Ecology Letters,307,314,30
"Lawler, J.J., Ruesch, A.S., Olden, J.D., Mcrae, B.H.",Projected climate-driven faunal movement routes,2013,Ecology Letters,1014,1022,30
"Lind, E.M., Borer, E., Seabloom, E., Adler, P., Bakker, J.D., Blumenthal, D.M., Crawley, M., Davies, K., Firn, J., Gruner, D.S., Stanley Harpole, W., Hautier, Y., Hillebrand, H., Knops, J., Melbourne, B., Mortensen, B., Risch, A.C., Schuetz, M., Stevens, C., Wragg, P.D.",Life-history constraints in grassland plant species: A growth-defence trade-off is the norm,2013,Ecology Letters,513,521,30
"Thomas, C.D., Anderson, B.J., Moilanen, A., Eigenbrod, F., Heinemeyer, A., Quaife, T., Roy, D.B., Gillings, S., Armsworth, P.R., Gaston, K.J.",Reconciling biodiversity and carbon conservation,2013,Ecology Letters,39,47,30
"Meiri, S., Dayan, T., Simberloff, D.","Area, isolation and body size evolution in insular carnivores",2005,Ecology Letters,1211,1217,31
"Karban, R.",Experimental clipping of sagebrush inhibits seed germination of neighbours,2007,Ecology Letters,791,797,31
"Wang, Y., Yu, S., Wang, J.",Biomass-dependent susceptibility to drought in experimental grassland communities,2007,Ecology Letters,401,410,31
"White, J.W.",Spatially correlated recruitment of a marine predator and its prey shapes the large-scale pattern of density-dependent prey mortality,2007,Ecology Letters,1054,1065,31
"Gómez, J.M., Abdelaziz, M., Camacho, J.P.M., Muñoz-Pajares, A.J., Perfectti, F.",Local adaptation and maladaptation to pollinators in a generalist geographic mosaic,2009,Ecology Letters,672,682,31
"Rose, K.E., Atkinson, R.L., Turnbull, L.A., Rees, M.",The costs and benefits of fast living,2009,Ecology Letters,1379,1384,31
"Kéfi, S., Rietkerk, M., Roy, M., Franc, A., De Ruiter, P.C., Pascual, M.",Robust scaling in ecosystems and the meltdown of patch size distributions before extinction,2011,Ecology Letters,29,35,31
"Mcnamara, J.M., Barta, Z., Klaassen, M., Bauer, S.",Cues and the optimal timing of activities under environmental changes,2011,Ecology Letters,1183,1190,31
"Boit, A., Martinez, N.D., Williams, R.J., Gaedke, U.",Mechanistic theory and modelling of complex food-web dynamics in Lake Constance,2012,Ecology Letters,594,602,31
"Devoto, M., Bailey, S., Craze, P., Memmott, J.",Understanding and planning ecological restoration of plant-pollinator networks,2012,Ecology Letters,319,328,31
"Espíndola, A., Pellissier, L., Maiorano, L., Hordijk, W., Guisan, A., Alvarez, N.",Predicting present and future intra-specific genetic structure through niche hindcasting across 24 millennia,2012,Ecology Letters,649,657,31
"Kariyat, R.R., Mauck, K.E., De Moraes, C.M., Stephenson, A.G., Mescher, M.C.",Inbreeding alters volatile signalling phenotypes and influences tri-trophic interactions in horsenettle (Solanum carolinense L.),2012,Ecology Letters,301,309,31
"Kuwae, T., Miyoshi, E., Hosokawa, S., Ichimi, K., Hosoya, J., Amano, T., Moriya, T., Kondoh, M., Ydenberg, R.C., Elner, R.W.",Variable and complex food web structures revealed by exploring missing trophic links between birds and biofilm,2012,Ecology Letters,347,356,31
"Lahdenperä, M., Gillespie, D.O.S., Lummaa, V., Russell, A.F.",Severe intergenerational reproductive conflict and the evolution of menopause,2012,Ecology Letters,1283,1290,31
"Withey, J.C., Lawler, J.J., Polasky, S., Plantinga, A.J., Nelson, E.J., Kareiva, P., Wilsey, C.B., Schloss, C.A., Nogeire, T.M., Ruesch, A., Ramos, J., Reid, W.",Maximising return on conservation investment in the conterminous USA,2012,Ecology Letters,1249,1256,31
"Luan, J.-B., Yao, D.-M., Zhang, T., Walling, L.L., Yang, M., Wang, Y.-J., Liu, S.-S.",Suppression of terpenoid synthesis in plants by a virus promotes its mutualism with vectors,2013,Ecology Letters,390,398,31
"Young, H., Griffin, R.H., Wood, C.L., Nunn, C.L.",Does habitat disturbance increase infectious disease risk for primates?,2013,Ecology Letters,656,663,31
"Cermeño, P., Marañón, E., Harbour, D., Harris, R.P.",Invariant scaling of phytoplankton abundance and cell size in contrasting marine environments,2006,Ecology Letters,1210,1215,32
"Karimi, R., Folt, C.L.",Beyond macronutrients: Element variability and multielement stoichiometry in freshwater invertebrates,2006,Ecology Letters,1273,1283,32
"Allen, A.P., Savage, V.M.",Setting the absolute tempo of biodiversity dynamics,2007,Ecology Letters,637,646,32
"Jeyasingh, P.D.",Plasticity in metabolic allometry: The role of dietary stoichiometry,2007,Ecology Letters,282,289,32
"Jessup, C.M., Bohannan, B.J.M.",The shape of an ecological trade-off varies with environment,2008,Ecology Letters,947,959,32
"Bertheau, C., Brockerhoff, E.G., Roux-Morabito, G., Lieutier, F., Jactel, H.",Novel insect-tree associations resulting from accidental and intentional biological 'invasions': A meta-analysis of effects on insect fitness,2010,Ecology Letters,506,515,32
"Borer, E.T., Seabloom, E.W., Mitchell, C.E., Power, A.G.",Local context drives infection of grasses by vector-borne generalist viruses,2010,Ecology Letters,810,818,32
"Cheng, L., Zhu, J., Chen, G., Zheng, X., Oh, N.-H., Rufty, T.W., Richter, D., Hu, S.",Atmospheric CO<inf>2</inf> enrichment facilitates cation release from soil,2010,Ecology Letters,284,291,32
"Clark, G.F., Johnston, E.L.",Temporal change in the diversity-invasibility relationship in the presence of a disturbance regime,2011,Ecology Letters,52,57,32
"Preston, B.T., Jalme, M.S., Hingrat, Y., Lacroix, F., Sorci, G.",Sexually extravagant males age more rapidly,2011,Ecology Letters,1017,1024,32
"Epanchin-Niell, R.S., Haight, R.G., Berec, L., Kean, J.M., Liebhold, A.M.",Optimal surveillance and eradication of invasive species in heterogeneous landscapes,2012,Ecology Letters,803,812,32
