Authors,Title,Year,Source title,Page start,Page end,Cited by
"Reijniers, J., Davis, S., Begon, M., Heesterbeek, J.A.P., Ageyev, V.S., Leirs, H.",A curve of thresholds governs plague epizootics in Central Asia,2012,Ecology Letters,554,560,9
"Scheiner, S.M.","The ecological literature, an idea-free distribution",2013,Ecology Letters,1421,1423,9
"Spooner, D.E., Frost, P.C., Hillebrand, H., Arts, M.T., Puckrin, O., Xenopoulos, M.A.",Nutrient loading associated with agriculture land use dampens the importance of consumer-mediated niche construction,2013,Ecology Letters,1115,1125,9
"Ellner, S.P., Holmes, E.E.",Commentary on Holmes et al. (2007): Resolving the debate on when extinction risk is predictable,2008,Ecology Letters,,,10
"Drake, J.M., Griffen, B.D.",Speed of expansion and extinction in experimental populations,2009,Ecology Letters,772,778,10
"Hart, D.R., Sissenwine, M.P.",Marine reserve effects on fishery profits: A comment on White et al. (2008),2009,Ecology Letters,,,10
"Jetz, W., Ashton, K.G., La Sorte, F.A.",Phenotypic population divergence in terrestrial vertebrates at macro scales,2009,Ecology Letters,1137,1146,10
"Grosholz, E.",Avoidance by grazers facilitates spread of an invasive hybrid plant,2010,Ecology Letters,145,153,10
"Belovsky, G.E., Laws, A.N., Slade, J.B.","Prey change behaviour with predation threat, but demographic effects vary with prey density: Experiments with grasshoppers and birds",2011,Ecology Letters,335,340,10
"Bell, J.R., Burkness, E.C., Milne, A.E., Onstad, D.W., Abrahamson, M., Hamilton, K.L., Hutchison, W.D.",Putting the brakes on a cycle: Bottom-up effects damp cycle amplitude,2012,Ecology Letters,310,318,10
"Daly, D., Higginson, A.D., Chen, D., Ruxton, G.D., Speed, M.P.",Density-dependent investment in costly anti-predator defences: An explanation for the weak survival benefit of group living,2012,Ecology Letters,576,583,10
"Jervis, M.A., Moe, A., Heimpel, G.E.",The evolution of parasitoid fecundity: A paradigm under scrutiny,2012,Ecology Letters,357,364,10
"Sprenger, D., Dingemanse, N.J., Dochtermann, N.A., Theobald, J., Walker, S.P.W.",Aggressive females become aggressive males in a sex-changing reef fish,2012,Ecology Letters,986,992,10
"Berngruber, T.W., Lion, S., Gandon, S.",Evolution of suicide as a defence strategy against pathogens in a spatially structured environment,2013,Ecology Letters,446,453,10
"Fricke, E.C., Simon, M.J., Reagan, K.M., Levey, D.J., Riffell, J.A., Carlo, T.A., Tewksbury, J.J.",When condition trumps location: Seed consumption by fruit-eating birds removes pathogens and predator attractants,2013,Ecology Letters,1031,1036,10
"Rieux, A., Lenormand, T., Carlier, J., De Lapeyre de Bellaire, L., Ravigné, V.",Using neutral cline decay to estimate contemporary dispersal: A generic tool and its application to a major crop pathogen,2013,Ecology Letters,721,730,10
"Rode, N.O., Lievens, E.J.P., Flaven, E., Segard, A., Jabbour-Zahab, R., Sanchez, M.I., Lenormand, T.",Why join groups? Lessons from parasite-manipulated Artemia,2013,Ecology Letters,493,501,10
"Utsumi, S., Ando, Y., Roininen, H., Takahashi, J.-I., Ohgushi, T.",Herbivore community promotes trait evolution in a leaf beetle via induced plant response,2013,Ecology Letters,362,370,10
"Hastings, A., Botsford, L.W.",A simple persistence condition for structured populations,2006,Ecology Letters,846,852,11
"Reuman, D.C., Costantino, R.F., Desharnais, R.A., Cohen, J.E.","Colour of environmental noise affects the nonlinear dynamics of cycling, stage-structured populations",2008,Ecology Letters,820,830,11
"Allington, G.R.H., Koons, D.N., Morgan Ernest, S.K., Schutzenhofer, M.R., Valone, T.J.",Niche opportunities and invasion dynamics in a desert annual community,2013,Ecology Letters,158,166,11
"Enge, S., Nylund, G.M., Pavia, H.",Native generalist herbivores promote invasion of a chemically defended seaweed via refuge-mediated apparent competition,2013,Ecology Letters,487,492,11
"Gómez, P., Buckling, A.",Real-time microbial adaptive diversification in soil,2013,Ecology Letters,650,655,11
"Godfree, R.C., Young, A.G., Lonsdale, W.M., Woods, M.J., Burdon, J.J.",Ecological risk assessment of transgenic pasture plants: A community gradient modelling approach,2004,Ecology Letters,1077,1089,12
"Crowley, P.H., Davis, H.M., Ensminger, A.L., Fuselier, L.C., Jackson, J.K., McLetchie, D.N.",A general model of local competition for space,2005,Ecology Letters,176,188,12
"Arvanitis, L., Wiklund, C., Münzbergova, Z., Dahlgren, J.P., Ehrlén, J.",Novel antagonistic interactions associated with plant polyploidization influence trait selection and habitat preference,2010,Ecology Letters,330,337,12
"Rowland, H.M., Mappes, J., Ruxton, G.D., Speed, M.P.",Mimicry between unequally defended prey can be parasitic: Evidence for quasi-Batesian mimicry,2010,Ecology Letters,1494,1502,12
"Thompson, J.N., Laine, A.-L., Thompson, J.F.",Retention of mutualism in a geographically diverging interaction,2010,Ecology Letters,1368,1377,12
"Bourbeau-Lemieux, A., Festa-Bianchet, M., Gaillard, J.-M., Pelletier, F.",Predator-driven component Allee effects in a wild ungulate,2011,Ecology Letters,358,363,12
"Fellous, S., Duncan, A.B., Quillery, E., Vale, P.F., Kaltz, O.",Genetic influence on disease spread following arrival of infected carriers,2012,Ecology Letters,186,192,12
"Fowler, M.S., Laakso, J., Kaitala, V., Ruokolainen, L., Ranta, E.",Species dynamics alter community diversity-biomass stability relationships,2012,Ecology Letters,1387,1396,12
