month,day,is_retweet,favorite_count,text
12.0,17,FALSE,60926,China steals United States Navy research drone in international waters - rips it out of water and takes it to China in unprecedented act.
12.0,17,FALSE,40187,"Mobile, Alabama today at 3:00 P.M. Last rally of the year - ""THANK YOU ALABAMA AND THE SOUTH"" Biggest of all crowds expected, see you there!"
12.0,17,FALSE,35184,"""@EazyMF_E: @realDonaldTrump Many people are now saying you will be an extremely successful president! #MakeAmericaGreatAgain""  Thank you!"
12.0,17,FALSE,36034,"Last night in Orlando, Florida, was incredible - massive crowd - THANK YOU FLORIDA! Today at 3:00 P.M. I will be in Alabama for last rally!"
12.0,17,FALSE,43359,Thank you Florida. My Administration will follow two simple rules: BUY AMERICAN and HIRE AMERICAN! #ICYMI- Watch:… https://t.co/3vgtzSJsFu
12.0,16,FALSE,27831,"#ThankYouTour2016 

Tonight- Orlando, Florida 
Tickets: https://t.co/JwQeccp79N

Tomorrow- Mobile, Alabama
Tickets:… https://t.co/Cq5AwcuzT9"
12.0,16,FALSE,70675,"Well, we all did it, together! I hope the ""MOVEMENT"" fans will go to D.C. on Jan 20th for the swearing in. Let's set the all time record!"
12.0,16,FALSE,109285,Are we talking about the same cyberattack where it was revealed that head of the DNC illegally gave Hillary the questions to the debate?
12.0,16,FALSE,38166,"Thank you Pennsylvania! Together, we are going to MAKE AMERICA GREAT AGAIN! Watch here: https://t.co/7R382qWfWS… https://t.co/yB6u5FEfHq"
12.0,15,FALSE,22280,"Join me in Mobile, Alabama on Sat. at 3pm! #ThankYouTour2016 
Tickets: https://t.co/GGgbjl8Zo6 https://t.co/opKrWO4k0C"
12.0,15,FALSE,124069,"If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?"
12.0,15,FALSE,60839,"The media tries so hard to make my move to the White House, as it pertains to my business, so complex - when actually it isn't!"
12.0,15,FALSE,57035,"Thank you to Time Magazine and Financial Times for naming me ""Person of the Year"" - a great honor!"
12.0,15,FALSE,37361,"Has anyone looked at the really poor numbers of @VanityFair Magazine. Way down, big trouble, dead! Graydon Carter, no talent, will be out!"
12.0,14,FALSE,57955,.@BillGates and @JimBrownNFL32 in my Trump Tower office yesterday- two great guys! https://t.co/4PjSOEU5y9
12.0,14,FALSE,42663,"Thank you Wisconsin! My Administration will be focused on three very important words: jobs, jobs, jobs! Watch:… https://t.co/iEGWZLuiFE"
12.0,14,TRUE,0,"RT @DanScavino: Join #PEOTUS Trump &amp; #VPEOTUS Pence live in West Allis, Wisconsin! 
#ThankYouTour2016 #MAGA
https://t.co/vU5EPIYKUc https:/…"
12.0,13,FALSE,23396,"Join me this Saturday at Ladd–Peebles Stadium in Mobile, Alabama! 
#ThankYouTour2016 

Tickets:… https://t.co/1RFmKCMgyw"
12.0,13,FALSE,58936,The thing I like best about Rex Tillerson is that he has vast experience at dealing successfully with all types of foreign governments.
12.0,13,FALSE,77773,Wisconsin and Pennsylvania have just certified my wins in those states. I actually picked up additional votes!
12.0,13,FALSE,76990,"I have chosen one of the truly great business leaders of the world, Rex Tillerson, Chairman and CEO of ExxonMobil, to be Secretary of State."
12.0,13,FALSE,46885,"I will hold a press conference in the near future to discuss the business, Cabinet picks and all other topics of interest. Busy times!"
12.0,13,FALSE,42985,"Presidency. Two of my children, Don and Eric, plus executives, will manage them. No new deals will be done during my term(s) in office."
12.0,13,FALSE,55971,"Even though I am not mandated by law to do so, I will be leaving my busineses before January 20th so that I can focus full time on the......"
12.0,13,FALSE,63246,I will be making my announcement on the next Secretary of State tomorrow morning.
12.0,12,FALSE,105021,The final Wisconsin vote is in and guess what - we just picked up an additional 131 votes. The Dems and Green Party can now rest. Scam!
12.0,12,FALSE,27048,"#ThankYouTour2016 

Tue: West Allis, WI. 

Thur: Hershey, PA. 

Fri: Orlando, FL. 

Sat: Mobile, AL. 

Tickets:… https://t.co/OJ8S7iVzFx"
12.0,12,FALSE,60204,The F-35 program and cost is out of control. Billions of dollars can and will be saved on military (and other) purchases after January 20th.
12.0,12,FALSE,60049,"Unless you catch ""hackers"" in the act, it is very hard to determine who was doing the hacking. Why wasn't this brought up before election?"
12.0,12,FALSE,108230,Can you imagine if the election results were the opposite and WE tried to play the Russia/CIA card. It would be called conspiracy theory!
12.0,12,FALSE,72028,"Just watched @NBCNightlyNews - So biased, inaccurate and bad, point after point. Just can't get much worse, although @CNN is right up there!"
12.0,12,FALSE,27885,Will be interviewed on @FoxNews at 10:00 P.M. Enjoy!
12.0,11,FALSE,52460,"Whether I choose him or not for ""State""- Rex Tillerson, the Chairman &amp; CEO of ExxonMobil, is a world class player and dealmaker. Stay tuned!"
12.0,11,FALSE,51114,"I spent Friday campaigning with John Kennedy, of the Great State of Louisiana, for the U.S.Senate. The election is over - JOHN WON!"
12.0,11,FALSE,79228,"Being at the Army - Navy Game was fantastic. There is nothing like the spirit in that stadium. A wonderful experience, and congrats to Army!"
12.0,11,FALSE,30187,I will be interviewed today on Fox News Sunday with Chris Wallace at 10:00 (Eastern) Network. ENJOY!
12.0,10,TRUE,0,"RT @FoxNewsSunday: Sunday-- our exclusive interview with President-elect @realDonaldTrump 
Watch on @FoxNews at 2p/10p ET 
Check your local…"
12.0,10,FALSE,27721,October 2015 - thanks Chris Wallace @FoxNewsSunday! https://t.co/VEsgPcWq7z
12.0,10,TRUE,0,RT @TrumpInaugural: Counting down the days until the swearing in of @realDonaldTrump &amp; @mike_pence. Check in here for the latest updates. #…
12.0,10,FALSE,31500,"A very interesting read. Unfortunately, so much is true.
https://t.co/ER2BoM765M"
12.0,10,FALSE,75035,"Reports by @CNN that I will be working on The Apprentice during my Presidency, even part time, are ridiculous &amp; untrue - FAKE NEWS!"
12.0,10,FALSE,106381,"As a show of support for our Armed Forces, I will be going to The Army-Navy Game today. Looking forward to it, should be fun!"
12.0,10,FALSE,49710,I have NOTHING to do with The Apprentice except for fact that I conceived it with Mark B &amp; have a big stake in it. Will devote ZERO TIME!
12.0,10,FALSE,30158,".@RudyGiuliani, one of the finest people I know and a former GREAT Mayor of N.Y.C., just took himself out of consideration for ""State""."
12.0,10,FALSE,38254,"Thank you Michigan. We are going to bring back your jobs &amp; together, we will MAKE AMERICA GREAT AGAIN!
Watch:… https://t.co/EyLOo26FqW"
12.0,9,FALSE,36425,Thank you Louisiana! Get out &amp; vote for John Kennedy tomorrow. Electing Kennedy will help enact our agenda on behal… https://t.co/sHXeyreEZI
