day,month,PrimaryType,n
21,7.0,PUBLIC PEACE VIOLATION,1.0
21,8.0,PUBLIC PEACE VIOLATION,5.0
21,9.0,PUBLIC PEACE VIOLATION,7.0
21,10.0,PUBLIC PEACE VIOLATION,4.0
21,11.0,PUBLIC PEACE VIOLATION,8.0
21,12.0,PUBLIC PEACE VIOLATION,8.0
22,1.0,PUBLIC PEACE VIOLATION,6.0
22,2.0,PUBLIC PEACE VIOLATION,3.0
22,3.0,PUBLIC PEACE VIOLATION,6.0
22,4.0,PUBLIC PEACE VIOLATION,2.0
22,5.0,PUBLIC PEACE VIOLATION,3.0
22,6.0,PUBLIC PEACE VIOLATION,9.0
22,7.0,PUBLIC PEACE VIOLATION,5.0
22,8.0,PUBLIC PEACE VIOLATION,2.0
22,9.0,PUBLIC PEACE VIOLATION,5.0
22,10.0,PUBLIC PEACE VIOLATION,7.0
22,11.0,PUBLIC PEACE VIOLATION,10.0
22,12.0,PUBLIC PEACE VIOLATION,2.0
23,1.0,PUBLIC PEACE VIOLATION,1.0
23,2.0,PUBLIC PEACE VIOLATION,5.0
23,3.0,PUBLIC PEACE VIOLATION,1.0
23,4.0,PUBLIC PEACE VIOLATION,6.0
23,5.0,PUBLIC PEACE VIOLATION,3.0
23,6.0,PUBLIC PEACE VIOLATION,7.0
23,7.0,PUBLIC PEACE VIOLATION,5.0
23,8.0,PUBLIC PEACE VIOLATION,3.0
23,9.0,PUBLIC PEACE VIOLATION,3.0
23,10.0,PUBLIC PEACE VIOLATION,4.0
23,11.0,PUBLIC PEACE VIOLATION,3.0
23,12.0,PUBLIC PEACE VIOLATION,3.0
24,1.0,PUBLIC PEACE VIOLATION,1.0
24,2.0,PUBLIC PEACE VIOLATION,3.0
24,3.0,PUBLIC PEACE VIOLATION,3.0
24,4.0,PUBLIC PEACE VIOLATION,6.0
24,5.0,PUBLIC PEACE VIOLATION,10.0
24,6.0,PUBLIC PEACE VIOLATION,3.0
24,7.0,PUBLIC PEACE VIOLATION,6.0
24,8.0,PUBLIC PEACE VIOLATION,6.0
24,9.0,PUBLIC PEACE VIOLATION,3.0
24,10.0,PUBLIC PEACE VIOLATION,4.0
24,11.0,PUBLIC PEACE VIOLATION,1.0
24,12.0,PUBLIC PEACE VIOLATION,0.0
25,1.0,PUBLIC PEACE VIOLATION,7.0
25,2.0,PUBLIC PEACE VIOLATION,2.0
25,3.0,PUBLIC PEACE VIOLATION,5.0
25,4.0,PUBLIC PEACE VIOLATION,3.0
25,5.0,PUBLIC PEACE VIOLATION,3.0
25,6.0,PUBLIC PEACE VIOLATION,6.0
25,7.0,PUBLIC PEACE VIOLATION,5.0
25,8.0,PUBLIC PEACE VIOLATION,0.0
25,9.0,PUBLIC PEACE VIOLATION,4.0
25,10.0,PUBLIC PEACE VIOLATION,4.0
25,11.0,PUBLIC PEACE VIOLATION,4.0
25,12.0,PUBLIC PEACE VIOLATION,0.0
26,1.0,PUBLIC PEACE VIOLATION,5.0
26,2.0,PUBLIC PEACE VIOLATION,4.0
26,3.0,PUBLIC PEACE VIOLATION,5.0
26,4.0,PUBLIC PEACE VIOLATION,3.0
26,5.0,PUBLIC PEACE VIOLATION,4.0
26,6.0,PUBLIC PEACE VIOLATION,5.0
26,7.0,PUBLIC PEACE VIOLATION,4.0
26,8.0,PUBLIC PEACE VIOLATION,2.0
26,9.0,PUBLIC PEACE VIOLATION,5.0
26,10.0,PUBLIC PEACE VIOLATION,6.0
26,11.0,PUBLIC PEACE VIOLATION,5.0
26,12.0,PUBLIC PEACE VIOLATION,1.0
27,1.0,PUBLIC PEACE VIOLATION,3.0
27,2.0,PUBLIC PEACE VIOLATION,4.0
27,3.0,PUBLIC PEACE VIOLATION,6.0
27,4.0,PUBLIC PEACE VIOLATION,3.0
27,5.0,PUBLIC PEACE VIOLATION,9.0
27,6.0,PUBLIC PEACE VIOLATION,4.0
27,7.0,PUBLIC PEACE VIOLATION,2.0
27,8.0,PUBLIC PEACE VIOLATION,5.0
27,9.0,PUBLIC PEACE VIOLATION,3.0
27,10.0,PUBLIC PEACE VIOLATION,6.0
27,11.0,PUBLIC PEACE VIOLATION,5.0
27,12.0,PUBLIC PEACE VIOLATION,2.0
28,1.0,PUBLIC PEACE VIOLATION,3.0
28,2.0,PUBLIC PEACE VIOLATION,5.0
28,3.0,PUBLIC PEACE VIOLATION,6.0
28,4.0,PUBLIC PEACE VIOLATION,4.0
28,5.0,PUBLIC PEACE VIOLATION,4.0
28,6.0,PUBLIC PEACE VIOLATION,7.0
28,7.0,PUBLIC PEACE VIOLATION,5.0
28,8.0,PUBLIC PEACE VIOLATION,5.0
28,9.0,PUBLIC PEACE VIOLATION,2.0
28,10.0,PUBLIC PEACE VIOLATION,3.0
28,11.0,PUBLIC PEACE VIOLATION,0.0
28,12.0,PUBLIC PEACE VIOLATION,1.0
29,1.0,PUBLIC PEACE VIOLATION,7.0
29,2.0,PUBLIC PEACE VIOLATION,6.0
29,3.0,PUBLIC PEACE VIOLATION,5.0
29,4.0,PUBLIC PEACE VIOLATION,4.0
29,5.0,PUBLIC PEACE VIOLATION,4.0
29,6.0,PUBLIC PEACE VIOLATION,4.0
29,7.0,PUBLIC PEACE VIOLATION,3.0
29,8.0,PUBLIC PEACE VIOLATION,4.0
29,9.0,PUBLIC PEACE VIOLATION,2.0
29,10.0,PUBLIC PEACE VIOLATION,6.0
29,11.0,PUBLIC PEACE VIOLATION,8.0
29,12.0,PUBLIC PEACE VIOLATION,6.0
30,1.0,PUBLIC PEACE VIOLATION,3.0
30,3.0,PUBLIC PEACE VIOLATION,3.0
30,4.0,PUBLIC PEACE VIOLATION,3.0
30,5.0,PUBLIC PEACE VIOLATION,6.0
30,6.0,PUBLIC PEACE VIOLATION,5.0
30,7.0,PUBLIC PEACE VIOLATION,5.0
30,8.0,PUBLIC PEACE VIOLATION,5.0
30,9.0,PUBLIC PEACE VIOLATION,6.0
30,10.0,PUBLIC PEACE VIOLATION,7.0
30,11.0,PUBLIC PEACE VIOLATION,1.0
30,12.0,PUBLIC PEACE VIOLATION,5.0
31,1.0,PUBLIC PEACE VIOLATION,1.0
31,3.0,PUBLIC PEACE VIOLATION,2.0
31,5.0,PUBLIC PEACE VIOLATION,5.0
31,7.0,PUBLIC PEACE VIOLATION,7.0
31,8.0,PUBLIC PEACE VIOLATION,9.0
31,10.0,PUBLIC PEACE VIOLATION,8.0
31,12.0,PUBLIC PEACE VIOLATION,2.0
1,1.0,ROBBERY,24.0
1,2.0,ROBBERY,42.0
1,3.0,ROBBERY,24.0
1,4.0,ROBBERY,28.0
1,5.0,ROBBERY,39.0
1,6.0,ROBBERY,35.0
1,7.0,ROBBERY,39.0
1,8.0,ROBBERY,37.0
1,9.0,ROBBERY,43.0
1,10.0,ROBBERY,28.0
1,11.0,ROBBERY,51.0
1,12.0,ROBBERY,37.0
2,1.0,ROBBERY,22.0
2,2.0,ROBBERY,20.0
2,3.0,ROBBERY,19.0
2,4.0,ROBBERY,27.0
2,5.0,ROBBERY,32.0
2,6.0,ROBBERY,31.0
2,7.0,ROBBERY,39.0
2,8.0,ROBBERY,46.0
2,9.0,ROBBERY,39.0
2,10.0,ROBBERY,39.0
2,11.0,ROBBERY,42.0
2,12.0,ROBBERY,41.0
3,1.0,ROBBERY,43.0
3,2.0,ROBBERY,31.0
3,3.0,ROBBERY,22.0
3,4.0,ROBBERY,24.0
3,5.0,ROBBERY,36.0
3,6.0,ROBBERY,24.0
3,7.0,ROBBERY,30.0
3,8.0,ROBBERY,44.0
3,9.0,ROBBERY,42.0
3,10.0,ROBBERY,45.0
3,11.0,ROBBERY,45.0
3,12.0,ROBBERY,47.0
4,1.0,ROBBERY,33.0
4,2.0,ROBBERY,23.0
4,3.0,ROBBERY,23.0
4,4.0,ROBBERY,22.0
4,5.0,ROBBERY,34.0
4,6.0,ROBBERY,23.0
4,7.0,ROBBERY,39.0
4,8.0,ROBBERY,41.0
4,9.0,ROBBERY,31.0
4,10.0,ROBBERY,38.0
4,11.0,ROBBERY,40.0
4,12.0,ROBBERY,35.0
5,1.0,ROBBERY,32.0
5,2.0,ROBBERY,26.0
5,3.0,ROBBERY,25.0
5,4.0,ROBBERY,23.0
5,5.0,ROBBERY,22.0
5,6.0,ROBBERY,37.0
5,7.0,ROBBERY,42.0
5,8.0,ROBBERY,42.0
5,9.0,ROBBERY,41.0
5,10.0,ROBBERY,32.0
5,11.0,ROBBERY,36.0
5,12.0,ROBBERY,23.0
6,1.0,ROBBERY,32.0
6,2.0,ROBBERY,27.0
6,3.0,ROBBERY,25.0
6,4.0,ROBBERY,19.0
6,5.0,ROBBERY,33.0
6,6.0,ROBBERY,29.0
6,7.0,ROBBERY,32.0
6,8.0,ROBBERY,27.0
6,9.0,ROBBERY,24.0
6,10.0,ROBBERY,42.0
